Survived
0,
1,C85
1,
1,C123
0,
0,
0,E46
0,
1,
1,
1,G6
1,C103
0,
0,
0,
1,
0,
1,
0,
1,
0,
1,D56
1,
1,A6
0,
1,
0,
0,C23 C25 C27
1,
0,
0,
1,B78
1,
0,
0,
0,
1,
0,
0,
1,
0,
0,
0,
1,
1,
0,
0,
1,
0,
0,
0,
0,
1,D33
1,
0,B30
1,C52
1,
0,
1,
0,
0,
1,B28
0,C83
0,
0,
1,
1,F33
0,
1,
0,
0,
0,
0,
0,
1,
0,F G73
0,
0,
1,
1,
0,
1,
1,
0,
1,
1,
0,
0,
1,C23 C25 C27
0,
0,
0,
0,E31
0,
0,
0,
0,A5
1,D10 D12
1,
0,
0,
0,
0,D26
0,
0,
0,
1,
1,
0,
1,
0,C110
0,
0,
0,
0,
0,
0,
0,
0,B58 B60
0,
0,
0,
0,
1,E101
0,D26
1,
0,
1,
1,F E69
0,
0,
0,
0,
1,
0,
0,
1,D47
0,C123
0,
0,B86
0,
1,
1,
0,
0,
0,
1,
0,
0,F2
0,
0,
1,C2
0,
0,
0,
0,
1,
0,
0,
0,
0,
1,
0,
0,
0,
1,
1,E33
0,
0,
0,
0,B19
0,
1,
0,
0,A7
0,
0,
0,C49
0,
0,
0,
0,
0,
1,F4
1,
0,A32
1,
1,
0,
0,
1,
0,
1,
1,F2
1,B4
1,B80
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,G6
0,
1,
1,
1,A31
0,
1,
0,
0,
0,
1,D36
1,
0,
1,D15
0,
1,
0,
0,
0,
1,C93
0,
1,
0,
0,
0,
1,C83
0,
0,
1,
0,
0,
0,
1,
0,
0,
0,
1,
0,
0,
0,
0,C78
0,
1,
1,D35
0,
0,
0,G6
0,C87
0,
0,
1,
1,
1,B77
1,
1,
0,
1,
0,E67
0,B94
0,
0,
0,
1,
1,C125
1,C99
0,
1,
1,
0,C118
1,
1,D7
0,
0,
0,
1,
0,
0,
0,
1,
0,A19
0,
1,
0,
1,
1,
1,
1,B49
0,D
0,
0,
0,
0,
0,C22 C26
1,C106
1,B58 B60
1,
1,
0,
1,E101
0,
1,C22 C26
1,
1,C65
0,
1,E36
1,C54
1,B57 B59 B63 B66
0,
0,
0,
1,
1,
0,
1,C7
1,E34
0,
0,
1,
1,
0,
1,C32
0,
1,D
1,
1,B18
1,
0,C124
0,C91
0,
1,
0,
0,C2
1,E40
1,
0,T
1,F2
1,C23 C25 C27
0,
0,
0,
1,F33
1,
1,
1,
0,
0,
0,C128
0,
0,
0,
0,
1,E33
0,
1,
1,
0,
0,
0,
0,
0,
0,
1,D37
1,
1,
1,B35
1,E50
0,
0,
0,
0,
1,
1,
0,C82
0,
0,
1,
1,
0,
1,
0,
0,
0,
1,
0,
1,
1,B96 B98
1,
0,
1,D36
1,G6
0,
0,
0,
0,
1,
1,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
1,C78
0,
1,
0,
1,
1,
0,
0,
0,
0,
0,
0,
0,
0,
1,
1,
0,
1,E10
1,C52
1,
1,
0,
0,E44
1,B96 B98
0,
1,
0,C23 C25 C27
0,
1,
0,
0,
1,
1,
1,A34
1,
1,
1,
1,C104
0,
0,
0,C111
1,C92
0,
1,
0,E38
1,D21
1,
0,
1,E12
0,
0,E63
0,
0,
0,
0,
0,
0,
1,
0,
0,
1,
1,D
0,
0,A14
0,
0,
0,
1,
0,
0,
0,
1,
1,B49
0,
1,C93
0,B37
0,
1,
0,
0,
0,C30
0,
0,
0,
1,D20
0,
0,C22 C26
0,
0,
0,
0,
0,
1,B79
0,C65
1,
1,
0,
1,
1,
0,
1,E25
1,
0,
0,D46
1,F33
0,
1,
0,
1,B73
0,
0,
1,B18
0,
0,
1,
0,C95
0,
0,
1,
0,
0,
1,
0,
1,
0,B38
1,
0,
1,B39
1,B22
0,
0,
1,
0,C86
0,
1,
1,
0,
1,
1,C70
0,
0,
1,
1,
0,
1,A16
0,
1,E67
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
1,
1,C101
1,E25
1,
0,
0,
1,
1,E44
0,
1,
1,
1,C68
0,
0,A10
0,
1,E68
0,
1,B41
0,
0,
0,
1,D20
0,
0,
0,
0,
1,
0,
0,
1,A20
1,
0,
0,
0,
1,
0,
0,
1,
1,
1,C125
0,
0,
1,
0,
0,
1,
0,
0,
1,F4
0,
0,
1,D19
1,
0,
0,
0,D50
0,
1,D9
0,
0,
1,A23
0,
1,B50
0,
0,
1,
0,
0,
0,
0,
0,
1,B35
0,
1,
1,
1,D33
0,
1,A26
0,
1,
0,
1,
0,
1,
0,
0,
0,
0,
0,
0,D48
1,
0,
0,E58
0,
1,
0,
0,
0,
0,
1,C126
1,
0,B71
0,
1,
0,
0,
0,
1,
0,
1,B51 B53 B55
0,
1,D49
0,
0,
0,
0,
0,
0,
0,
1,B5
1,B20
1,
1,
0,
0,
0,
0,
1,
0,C68
0,F G63
1,C62 C64
1,E24
0,
0,
0,
0,
1,
1,E24
1,
1,
1,C90
0,C124
1,C126
0,
0,
0,F G73
1,C45
1,E101
0,
0,
1,
0,
0,
0,
1,E8
0,
1,
1,
0,
0,
1,B5
0,
0,
0,
0,
0,
0,
1,B101
0,
0,
1,D45
0,C46
1,B57 B59 B63 B66
0,
1,
0,B22
0,
1,
0,D30
0,
1,
1,E121
0,
0,
1,
1,
0,
0,
0,
1,B77
0,
0,
1,
1,B96 B98
0,
1,D11
0,
0,
0,
0,
0,
0,
0,E77
0,
1,
0,
0,F38
1,
0,
1,B3
1,
1,B20
0,D6
0,
0,
0,
1,
0,
1,
0,B82 B84
0,
0,
0,
0,
0,
0,
1,D17
1,
0,
0,
0,
1,
1,B96 B98
1,
1,
0,
0,A36
0,
0,
1,E8
0,
0,
0,
0,
0,
0,B102
0,
0,
0,
0,
1,B69
1,
0,
1,E121
0,
0,
0,
1,
1,
1,B28
1,
1,
0,
0,
0,
1,E49
0,
0,
1,
1,C47
0,
0,
1,
0,
0,
0,
0,
0,
0,
1,C92
0,
0,
0,
1,D28
0,
1,
1,
1,E17
1,
0,
0,
0,
1,D17
0,
0,
1,
1,
0,A24
0,
1,
0,
1,D35
0,B51 B53 B55
0,
1,
1,
0,
0,
0,
1,C50
1,
0,
0,
0,
0,
0,
0,
1,B42
0,
1,C148
0,
